機構名稱,機構代碼,地址,行政區,電話,家庭醫學科,內科,外科,整形外科,兒科,婦產科,骨科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,神經科,神經外科,復健科,麻醉科,放射診斷科,放射腫瘤科,解剖病理科,臨床病理科,核子醫學科,急診醫學科,職業醫學科,西醫一般科,口腔病理科,口腔顏面外科,齒顎矯正科,牙科一般科,牙科,中醫一般科,中醫,中醫內科,中醫外科,中醫婦科,中醫兒科,傷科,中醫眼科,針灸科,痔科
上輝牙醫診所,3702060912,高雄市新興區復興二路324號一樓,新興區,07 2813091,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
新田牙醫診所,3702060921,高雄市新興區林森一路189號一樓二樓三樓,新興區,07 2357299,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
冠誼牙醫診所,3702060949,高雄市新興區復興二路316號1-3樓,新興區,07 2225318,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
千代牙醫診所,3702060985,高雄市新興區信守街１０４號一樓,新興區,07 2221249,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
吳耀林牙醫診所,3702060994,高雄市新興區復橫一路２９２號一樓,新興區,07 2319892,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無
大來牙醫診所,3702061017,高雄市新興區中正三路６８之５號二樓,新興區,07 2380303,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
林秀水牙醫診所,3702061035,高雄市新興區金門街１０７之２號一樓,新興區,07 2266256,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無
中一牙醫診所,3702061044,高雄市新興區青年一路２２６號一樓,新興區,07 2826168,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無
璟尚牙醫診所,3702062103,高雄市新興區八德一路221號一樓,新興區,07-2377739,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
芝加哥牙醫診所,3702062112,高雄市新興區青年一路110號1樓,新興區,07-2233611,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
文心牙醫診所,3702062167,高雄市新興區中正二路一八二號一樓,新興區,07-2252899,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
維美牙醫診所,3702062201,高雄市新興區六合路183號一樓,新興區,07-2259239,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
大象牙醫診所,3702062229,高雄市新興區青年一路122號1樓,新興區,07-2297889,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無
澄品牙醫診所,3702062256,高雄市新興區中正三路93號3樓,新興區,07-2911618,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
小王子牙醫診所,3702062265,高雄市新興區七賢一路390號一樓,新興區,07-2366168,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
高加牙醫診所,3707330017,高雄市新興區洛陽街70號一樓72號一樓,新興區,07-2353600,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
自立牙醫診所,3707330053,高雄市新興區自立一路48號1-2樓,新興區,07-2875737,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
品適牙醫診所,3707330062,高雄市新興區新田路146號1樓、2樓,新興區,2211989,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
育康信合美牙醫診所,3707330071,高雄市新興區民生一路208號1-3樓,新興區,07-2226166,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
進美牙醫診所,3707330080,高雄市新興區復興一路64號1樓,新興區,07-2358727,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
回生中醫診所,3802060085,高雄市新興區復興一路１８號一樓,新興區,07 2265667,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無
佳德中醫診所,3802060398,高雄市新興區復興一路97號一樓,新興區,07 2357677,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無
詠豐中醫診所,3802060432,高雄市新興區自立一路２４號一樓二樓,新興區,07 2850478,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無
大德中醫診所,3802060469,高雄市新興區六合一路96巷6號一樓,新興區,07 2362096,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無
永康中醫診所,3802060503,高雄市新興區復興一路１１９號一樓,新興區,07 2358619,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無
再生好中醫診所,3802061582,高雄市新興區自立一路34號一樓,新興區,07-2857258,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無
元助中醫診所,3802061662,高雄市新興區林森二路182號一樓,新興區,07-2159388,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無
仁仁中醫診所,3802061699,高雄市新興區林森一路一九七號一樓二樓,新興區,07-2360230,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無
濟民中醫診所,3802061706,高雄市新興區中山一路六十一號一樓,新興區,07-2410822,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無
康和中醫診所,3802061779,高雄市新興區五福一路128號一樓,新興區,07-2221128,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無
張倩華中醫診所,3802061797,高雄市新興區林森一路111號一樓,新興區,07-2618989,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無
五福中醫診所,3807330019,高雄市新興區五福二路35號一樓,新興區,2816800,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無
濟安中醫診所,3807330028,高雄市新興區忠孝一路188號1樓,新興區,07-2617213,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無
永森中醫診所,3807330073,高雄市新興區中山一路276號一樓,新興區,07-2361636,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無
天榮中醫診所,3807330082,高雄市新興區林森一路147號1樓,新興區,07-2711565,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無
天恩中醫診所,3807330117,高雄市新興區青年一路138號1樓,新興區,07-2237778,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無
吉聯中醫診所,3807330126,高雄市新興區七賢一路510號1樓,新興區,07-2355125,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無
陳杉中醫診所,3807330144,高雄市新興區中東街217號1樓,新興區,07-2367696,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無
禾安中醫診所,3807330153,高雄市新興區復興二路193號1樓,新興區,2820088,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無
福悅中醫診所,3807330162,高雄市新興區七賢一路398號,新興區,07-2367567,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無
凱璿中醫診所,3807330171,高雄市新興區民生一路330號1、2樓,新興區,07-2516699,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無
吳國欽內科診所,3502063302,高雄市新興區民主路71號一樓,新興區,07-2870789,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
高安診所,3502063339,高雄市新興區中山一路59號1樓,新興區,07-2727662,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
洪洲群皮膚科診所,3502063384,高雄市新興區青年一路146號1樓,新興區,07-2228883,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
嚴翔勇診所,3502063400,高雄市新興區大同一路198-2號1樓,新興區,07-2818620,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
柯偉恭診所,3502063508,高雄市新興區民族二路102-9號一樓,新興區,07-2261359,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
青欣診所,3502063526,高雄市新興區中正二路212號1樓,新興區,07-2254800,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
光晴診所,3507330031,高雄市新興區開封路31號1樓,新興區,07-2260591,有,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
立人健康診所,3507330040,高雄市新興區大同一路194號,新興區,07-2811668,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
晶緻美學診所,3507330068,高雄市新興區中山一路6-17號一-二樓,新興區,07-2010538,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
詹昌明診所,3507330095,高雄市新興區仁愛一街234號一樓,新興區,07-2353853,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
白璧美學整形外科診所,3507330102,高雄市新興區大同一路185號一樓二樓,新興區,07-2516111,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
靚世紀診所,3507330120,高雄市新興區中山一路162號1樓,新興區,07-2362226,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
佑欣診所,3507330139,高雄市新興區六合路138號1樓,新興區,07-2238779,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
萊佳形象美學診所,3507330157,高雄市新興區民權一路253號1樓,新興區,07-2232020,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
美博仕診所,3507330166,高雄市新興區八德一路311號1樓2樓3樓,新興區,07-2365565,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
艾帝爾診所,3507330184,高雄市新興區七賢二路8巷16號2樓,新興區,07-2858686,無,無,有,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
大千骨科診所,3507330193,高雄市新興區渤海街14號1樓2樓,新興區,07-2271988,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
張正國診所,3507330228,高雄市新興區忠孝一路19號1樓,新興區,07-2161238,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
周玉祺診所,3507330237,高雄市新興區六合路157號1樓2樓,新興區,07-2262128,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
復興診所,3507330255,高雄市新興區復興一路22號1樓,新興區,07-2238641,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
愛爾麗診所,3507330282,高雄市新興區中山一路10-3號1-3樓,新興區,07-2735999,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
馬敘強診所,3507330291,高雄市新興區林森一路37-1號一樓,新興區,07-2817220,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
榮欣身心診所,3507330344,高雄市新興區五福二路144號1樓,新興區,07-2150123,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
七賢高美泌尿科診所,3507330362,高雄市新興區七賢二路71號,新興區,2869096,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
李一鳴內科診所,3507330371,高雄市新興區七賢一路37號1、2樓,新興區,07-2266558,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
韓風診所,3507330399,高雄市新興區五福二路213號二樓,新興區,2818777,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
采醫翎麗診所,3507330424,高雄市新興區文橫二路125號1、2樓,新興區,2210618,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
漢蒂妮醫美診所,3507330433,高雄市新興區中正四路38號1-2樓,新興區,2859598,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
高欣診所,3507330442,高雄市新興區復興一路44號1-3樓,新興區,07-2266893,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
美兆診所,3507330451,高雄市新興區中正二路182號14樓之3、15樓之3,新興區,07-2262288,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
誠心診所,3507330479,高雄市新興區七賢二路73號1樓、2樓,新興區,2850601,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
錦英診所,3507330488,高雄市新興區中山一路101號1樓,新興區,2316428,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
富芯診所,3507330497,高雄市新興區復興一路16-2號1樓,新興區,07-2225823,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
愛汝診所,3507330504,高雄市新興區五福一路140號一樓、及夾層,新興區,07-2242525,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
黛子醫美診所,3507330513,高雄市新興區中山一路60號1、2樓,新興區,07-2410111,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
晶鑽時尚診所,3507330522,高雄市新興區中正三路156號1-2樓,新興區,07-2367811,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
揚藝美學診所,3507330531,高雄市新興區忠孝一路233號1、2樓,新興區,07-2410101,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
進安家庭醫學科診所,3507330540,高雄市新興區南台路68及68之1號1樓,新興區,07-2884414,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
鴻源牙醫診所,3702060029,高雄市新興區忠孝一路２６０號,新興區,07 2726313,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
優美牙醫診所,3702060074,高雄市新興區林森一路１１７號,新興區,07 2820497,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
陸朝沛牙醫診所,3702060083,高雄市新興區興華路４８號,新興區,07 2351252,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
光雄牙醫診所,3702060127,高雄市新興區渤海街８６號,新興區,07 2266810,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
東政牙醫診所,3702060145,高雄市新興區忠孝一路２４３號,新興區,07 2510807,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
愛心牙醫診所,3702060154,高雄市新興區林森一路１４５號,新興區,07 2714511,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
佳宏牙醫診所,3702060163,高雄市新興區六合一路４８號,新興區,07 2387870,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
張青韻牙醫診所,3702060172,高雄市新興區中東街１４１號,新興區,07 2228845,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
博仁牙醫診所,3702060181,高雄市新興區六合路106號一樓、地下室,新興區,07 2223808,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
原弘牙醫診所,3702060190,高雄市新興區錦田路３８號,新興區,07 2268943,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
陳英毅牙醫診所,3702060234,高雄市新興區八德一路２８３號,新興區,07 2369898,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
中華牙醫診所,3702060243,高雄市新興區六合一路20-4號,新興區,07 2388660,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
光仁牙醫診所,3702060252,高雄市新興區六合一路９６巷４號,新興區,07 2366667,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
正一牙醫診所,3702060298,高雄市新興區八德二路８７號,新興區,07 2882729,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
真善美牙醫診所,3702060305,高雄市新興區和平一路２７１號,新興區,07 2240898,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
王文毅牙醫診所,3702060350,高雄市新興區六合一路２號,新興區,07 2364486,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
仁鴻牙醫診所,3702060369,高雄市新興區新田路６９號,新興區,07 2810389,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
澄清牙醫診所,3702060378,高雄市新興區青年一路２６０路,新興區,07 2315463,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
涂牙醫診所,3702060403,高雄市新興區文化路１７號,新興區,07 2825006,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
怡安牙醫診所,3702060421,高雄市新興區同愛街５號,新興區,07 2888945,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
華仁牙醫診所,3702060449,高雄市新興區六合一路１３４號,新興區,07 2365885,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
林永隆牙醫診所,3702060458,高雄市新興區新田路１６９號,新興區,07 2414121,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
劉文山牙醫診所,3702060467,高雄市新興區大同一路１０２號二樓,新興區,07 2913800,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
